Atualizado em: 2023-10-19
"Numero_da_Ocorrencia";"Numero_da_Ficha";"Operador_Padronizado";"Classificacao_da_Ocorrencia";"Data_da_Ocorrencia";"Hora_da_Ocorrencia";"Municipio";"UF";"Regiao";"Descricao_do_Tipo";"ICAO";"Latitude";"Longitude";"Tipo_de_Aerodromo";"Historico";"Matricula";"Categoria_da_Aeronave";"Operador";"Tipo_de_Ocorrencia";"Fase_da_Operacao";"Operacao";"Danos_a_Aeronave";"Aerodromo_de_Destino";"Aerodromo_de_Origem";"Lesoes_Fatais_Tripulantes";"Lesoes_Fatais_Passageiros";"Lesoes_Fatais_Terceiros";"Lesoes_Graves_Tripulantes";"Lesoes_Graves_Passageiros";"Lesoes_Graves_Terceiros";"Lesoes_Leves_Tripulantes";"Lesoes_Leves_Passageiros";"Lesoes_Leves_Terceiros";"Ilesos_Tripulantes";"Ilesos_Passageiros";"Lesoes_Desconhecidas_Tripulantes";"Lesoes_Desconhecidas_Passageiros";"Lesoes_Desconhecidas_Terceiros";"Modelo";"CLS";"Tipo_ICAO";"PMD";"Numero_de_Assentos";"Nome_do_Fabricante";"PSSO"
"26024";"202070201";"AZUL";"Incidente";"2020-11-14";"12:12";"SÃO LUÍS";"MA";"Nordeste";"FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE";"SBSL";"-2,58528";"-44,2342";"Público";"A AERONAVE DECOLOU DO AERÓDROMO VAL DE CANS - JÚLIO CEZAR RIBEIRO (SBBE), BELÉM, PA, COM DESTINO AO AERÓDROMO MARECHAL CUNHA MACHADO (SBSL), SÃO LUIS, MA, A FIM DE EFETUAR TRANSPORTE AÉREO PÚBLICO REGULAR, COM QUATRO TRIPULANTES E SESSENTA E UM PASSAGEIROS A BORDO.DURANTE A FASE DE DESCIDA, OCORREU UMA TRINCA NO PARA-BRISAS TENDO IMPACTO NA PRESSURIZAÇÃO. A TRIPULAÇÃO EFETUOU OS PROCEDIMENTOS NO QRH DESCENDO PARA O FL100 E DECLAROU EMERGÊNCIA (PAN PAN).O POUSO FOI REALIZADO NORMALMENTE E SEM INTERCORRÊNCIAS.A AERONAVE TEVE DANOS LEVES.OS QUATRO TRIPULANTES E OS SESSENTA E UM PASSAGEIROS SAÍRAM ILESOS.";"PRAKI";"TPR";"AZUL LINHAS AEREAS BRASILEIRAS S.A";"SCF-NP";"Descida";"Voo Regular";"Leve";"SBSL";"SBBE";"null";"null";"null";"null";"null";"null";"null";"null";"null";"4";"61";"null";"null";"null";"ATR-72-212A";"L2T";"AT76";"22000";"76";"AEROSPATIALE AND ALENIA";"verdadeiro"
"25142";"202062151";"CHC DO BRASIL TAXI AEREO S.A";"Incidente";"2020-08-09";"12:10";"RIO DE JANEIRO";"RJ";"Sudeste";"OUTROS";"Fora de Aeródromo";"-23,9718";"-42,9921";"-";"A aeronave decolou do Aeródromo Jacarepagua-Roberto Marinho (SBJR), Rio de Janeiro, RJ, com destino a plataforma marítima NS44, a fim de cumprir voo de transporte de passageiros offshore, com 03 tripulantes e 13 passageiros. Durante o voo de cruzeiro ocorreu o acendimento da luz de baixo nível de óleo hidráulico e de baixa pressão do sistema 01. A tripulação decidiu retornar para SBJR. O pouso ocorreu normalmente. A aeronave não teve danos. Todos a bordo saíram ilesos. Após o pouso e corte dos motores o operador observou que houve vazamento do óleo pelo dreno do reservatório do sistema hidráulico número 01.";"PRBGN";"TPX";"CHC DO BRASIL TAXI AEREO S.A";"OTHR";"Cruzeiro";"Táxi Aéreo";"Nenhum";"null";"SBJR";"null";"null";"null";"null";"null";"null";"null";"null";"null";"3";"13";"null";"null";"null";"S-92A";"H2T";"S92";"12020";"21";"SIKORSKY AIRCRAFT";"verdadeiro"
"25201";"202081575";"AZUL";"Incidente";"2020-09-02";"19:30";"MACEIÓ";"AL";"Nordeste";"FALHA OU MAU FUNCIONAMENTO DO MOTOR";"SBMO";"-9,51722";"-35,7836";"Público";"A AERONAVE DECOLOU DO AERÓDROMO SANTA MARIA (SBAR), ARACAJU, SE, COM DESTINO AO AERÓDROMO GILBERTO FREYRE (SBRF), RECIFE, PE, A FIM DE EFETUAR TRANSPORTE DE PESSOAL, COM QUATRO TRIPULANTES E SETENTA PASSAGEIROS A BORDO. DURANTE A FASE DE CRUZEIRO, OCORREU O APAGAMENTO DO MOTOR ESQUERDO, QUE FOI OBSERVADO PELOS ALERTAS DE ENG1 OVER LIMIT e ENG1 OUT. A TRIPULAÇÃO REALIZOU OS PROCEDIMENTOS PREVISTOS NO QRH, DECLAROU EMERGÊNCIA (MAYDAY) E DECIDIU ALTERNAR O VOO PARA O AERÓDROMO ZUMBI DOS PALMARES (SBMO), MACEIÓ, AL. O POUSO FOI REALIZADO NORMALMENTE E SEM INTERCORRÊNCIAS. A AERONAVE NÃO TEVE DANOS. OS QUATRO TRIPULANTES E OS SETENTA PASSAGEIROS SAÍRAM ILESOS.";"PRAQM";"TPR";"AZUL LINHAS AEREAS BRASILEIRAS S.A";"SCF-PP";"Cruzeiro";"Voo Regular";"Nenhum";"SBRF";"SBAR";"null";"null";"null";"null";"null";"null";"null";"null";"null";"4";"70";"null";"null";"null";"ATR-72-212A";"L2T";"AT76";"23000";"75";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL";"verdadeiro"
"1359";"562/2010";"GOL";"Incidente";"2010-11-02";"null";"null";"Indeterminado";"null";"null";"null";"null";"null";"null";"COLISÃO COM PÁSSARO";"PRGII";"TPR";"GOL";"null";"null";"Voo Regular";"null";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"737-7L9";"L2J";"B737";"67996";"148";"BOEING COMPANY";"verdadeiro"
"976";"354/2010";"GOL";"Ocorrência Anormal";"2010-06-21";"null";"null";"PR";"Sul";"null";"null";"null";"null";"null";"COLISÃO COM PÁSSARO";"PRVBW";"TPR";"GOL";"null";"null";"Voo Regular";"null";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"737-7BX";"L2J";"B737";"70080";"148";"BOEING COMPANY";"verdadeiro"
"5394";"/2004";"null";"Acidente";"2004-03-14";"null";"null";"Indeterminado";"null";"null";"null";"null";"null";"null";"null";"N4395D";"ESTRANGEIRA";"null";"null";"null";"Voo Privado";"null";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"null";"null";"null";"null";"null";"null";"falso"
"26203";"202079759";"ESCOLA DE AVIAÇÃO CIVIL ASAS ROTATIVAS LTDA";"Acidente";"2020-12-02";"16:35";"QUATRO BARRAS";"PR";"Sul";"INDETERMINADO";"Fora de Aeródromo";"-25,3869";"-49,0036";"-";"A aeronave decolou do aeródromo Piraquara (SISY), município de Piraquara, PR, às 16h15min (UTC), a fim de realizar um voo local de instrução com um instrutor e um aluno a bordo. Após 20 minutos de voo, a aeronave apresentou uma queda brusca na rpm seguida de apagamento do motor. O instrutor realizou autorrotação e pouso de emergência em superfície irregular, nas proximidades de um terreno montanhoso. A aeronave teve danos substanciais. Os tripulantes saíram ilesos.";"PPJRL";"PRI";"ESCOLA DE AVIAÇÃO CIVIL ASAS ROTATIVAS LTDA";"UNK";"Cruzeiro";"Voo de Instrução";"Substancial";"SISY";"SISY";"null";"null";"null";"null";"null";"null";"null";"null";"null";"2";"null";"null";"null";"null";"R22 BETA";"H1P";"R22";"621";"2";"ROBINSON HELICOPTER";"verdadeiro"
"25586";"202007963";"MAP";"Incidente";"2020-09-20";"18:50";"MANAUS";"AM";"Norte";"FALHA OU MAU FUNCIONAMENTO DO MOTOR";"SBEG";"-3,03889";"-60,0461";"Público";"A AERONAVE DECOLOU DO AERÓDROMO EDUARDO GOMES (SBEG), MANAUS, AM, COM DESTINO AO AERÓDROMO SÃO GABRIEL DA CACHOEIRA (SBUA), AM, A FIM DE EFETUAR TRANSPORTE DE PASSAGEIROS, COM QUATRO TRIPULANTES E QUARENTA E OITO PASSAGEIROS A BORDO. APÓS A DECOLAGEM, O MOTOR ESQUERDO APRESENTOU REDUÇÃO DE TORQUE. A TRIPULAÇÃO EFETUOU OS PROCEDIMENTOS PREVISTOS E DECIDIU POR RETORNAR AO AERÓDROMO DE ORIGEM. O POUSO FOI REALIZADO NORMALMENTE E SEM INTERCORRÊNCIAS A AERONAVE NÃO TEVE DANOS. OS QUATRO TRIPULANTES E OS QUARENTA E OITO PASSAGEIROS SAÍRAM ILESOS.";"PRMPW";"TPR";"MAP TRANSPORTES AEREOS LTDA";"SCF-PP";"Subida";"Voo Regular";"Nenhum";"SBUA";"SBEG";"null";"null";"null";"null";"null";"null";"null";"null";"null";"4";"48";"null";"null";"null";"ATR-72-212A (500)";"L2T";"AT75";"22000";"76";"ATR - GIE AVIONS DE TRANSPORT RÉGIONAL";"verdadeiro"
"6017";"1152/2014";"AEROCLUBE DE VARZEA GRANDE";"Acidente";"2014-07-06";"19:05:00";"BARRA DO BUGRES";"MT";"Centro-Oeste";"EXCURSÃO DE PISTA";"null";"-15,0506";"-57,1828";"null";"A aeronave iniciou a corrida de decolagem configurada com 10° de flapes, pista 36 de SWBB, ao atingir 60Kt, os flapes foram comandados para 20° de deflexão. Após atingir 65Kt e sair do solo, a aeronave não adquiriu sustentação suficiente para apresentar uma velocidade vertical positiva e livrar os obstáculos existentes no prolongamento da pista.O piloto cortou o motor na tentativa de abortar a decolagem, porém, ao tocar no solo próximo ao final da pista, a aeronave voltou a subir e veio a colidir com uma cerca e pilonar.";"PTBVC";"PRI";"AEROCLUBE DE VARZEA GRANDE";"RE";"Decolagem";"Voo de Instrução";"Substancial";"SWBB";"SWBB";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"172D";"L1P";"C172";"1043";"4";"CESSNA AIRCRAFT";"verdadeiro"
"26204";"202016375";"TOTAL";"Incidente";"2020-12-02";"16:30";"RIO DE JANEIRO";"RJ";"Sudeste";"FALHA OU MAU FUNCIONAMENTO DO MOTOR";"SBGL";"-22,81";"-43,2506";"Público";"A AERONAVE DECOLOU DO AERÓDROMO GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO (SBGR), SÃO PAULO, SP, COM DESTINO AO AERÓDROMO GALEÃO - ANTÔNIO CARLOS JOBIM (SBGL), RIO DE JANEIRO, RJ, A FIM DE REALIZAR TRANSPORTE AÉREO PÚBLICO REGULAR, COM TRÊS TRIPULANTES A BORDO. DURANTE O VOO, OCORREU QUE A AERONAVE SOFREU DOIS TRANCOS FORTES. A TRIPULAÇÃO EFETUOU A VERIFICAÇÃO DOS INSTRUMENTOS DE BORDO E IDENTIFICOU QUE SE TRATAVA DO MOTOR #2, COM TODOS OS PARÂMETROS ALTERADOS. ENTÃO FORAM REALIZADOS OS PROCEDIMENTOS PREVISTOS PARA CORTE DE MOTOR EM VOO, E ASSIM SE FEZ. O POUSO FOI REALIZADO SEM INTERCORRÊNCIAS E EM SEGURANÇA. A AERONAVE NÃO TEVE DANOS. OS TRÊS TRIPULANTES SAÍRAM ILESOS.";"PRTTP";"TPR";"TOTAL LINHAS AEREAS S.A";"SCF-PP";"Cruzeiro";"Voo Regular";"Nenhum";"SBGL";"SBGR";"null";"null";"null";"null";"null";"null";"null";"null";"null";"3";"null";"null";"null";"null";"727-2M7";"L3J";"B722";"88360";"7";"BOEING COMPANY";"verdadeiro"
